,Time,Event,Part,Process,Machine
49,10.0,Started,Part3_0,Process0,M0
50,10.0,Started,Part4_0,Process1,M1
51,13.0,Finished,Part0_0,Process2,M2
52,13.0,Started,Part1_1,Process2,M2
53,14.0,Finished,Part1_0,Process3,M3
54,14.0,Started,Part0_0,Process3,M3
55,15.0,Finished,Part2_0,Process4,M4
56,15.0,Finished,Part3_0,Process0,M0
57,15.0,Finished,Part4_0,Process1,M1
58,15.0,Started,Part1_0,Process4,M4
59,15.0,Started,Part2_0,Process0,M0
60,15.0,Started,Part3_0,Process1,M1
61,18.0,Finished,Part1_1,Process2,M2
62,18.0,Started,Part4_0,Process2,M2
63,19.0,Finished,Part0_0,Process3,M3
64,19.0,Started,Part1_1,Process3,M3
65,20.0,Finished,Part1_0,Process4,M4
66,20.0,Finished,Part2_0,Process0,M0
67,20.0,Finished,Part3_0,Process1,M1
68,20.0,Started,Part0_0,Process4,M4
69,20.0,Started,Part1_0,Process0,M0
70,20.0,Started,Part2_0,Process1,M1
71,23.0,Finished,Part4_0,Process2,M2
72,23.0,Started,Part3_0,Process2,M2
73,24.0,Part1 Created,Part1_2,Source1,
74,24.0,Finished,Part1_1,Process3,M3
75,24.0,Routing Start,Part1_2,Source1,
76,24.0,Routing Finished,Part1_2,Source1,
77,24.0,Part transferred from Source,Part1_2,Process1,
78,24.0,Started,Part4_0,Process3,M3
79,25.0,Finished,Part0_0,Process4,M4
80,25.0,Finished,Part1_0,Process0,M0
81,25.0,Finished,Part2_0,Process1,M1
82,25.0,Completed,Part0_0,Sink,
83,25.0,Completed,Part1_0,Sink,
84,25.0,Completed,Part2_0,Sink,
